Scary,Costume,film.Title,Title,Release.Year,Type,Genre,Plot,Poster,Metascore,imdbRating,imdbVotes,tomatoMeter,tomatoImage,tomatoConsensus,tomatoURL,BoxOffice,Awards,Fun.Facts,Director,Actor.1,Actor.2,Actor.3,Country,Website,Locations,formatted_address,lat,lng,location_type,Romance,Musical,Drama,Action,Comedy,SciFi,Horror,Adventure,Fantasy,Family,Crime,Western,FilmNoir,Thriller,Mystery,War,Biography,Documentary,Short,badgeo,poster_staging,poster_main
FALSE,FALSE,180,180,2011,movie,"Drama, Romance",A young man Ajay (cancer victim) meets two lovely women Renu (wife) and Vidya (journalist) in his life.,http://ia.media-imdb.com/images/M/MV5BMTQ1NDExNTA5Ml5BMl5BanBnXkFtZTcwOTc3MjA2NQ@@._V1_SX300.jpg,N/A,6,571,N/A,N/A,N/A,N/A,N/A,3 nominations.,,Jayendra,Siddarth,Nithya Menon,Priya Anand,India,N/A,Epic Roasthouse (399 Embarcadero),"369 The Embarcadero, San Francisco, CA 94105, USA",37.7908379,-122.3893566,APPROXIMATE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/180.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/180.jpg
FALSE,FALSE,180,180,2011,movie,"Drama, Romance",A young man Ajay (cancer victim) meets two lovely women Renu (wife) and Vidya (journalist) in his life.,http://ia.media-imdb.com/images/M/MV5BMTQ1NDExNTA5Ml5BMl5BanBnXkFtZTcwOTc3MjA2NQ@@._V1_SX300.jpg,N/A,6,571,N/A,N/A,N/A,N/A,N/A,3 nominations.,,Jayendra,Siddarth,Nithya Menon,Priya Anand,India,N/A,Mason & California Streets (Nob Hill),"California St & Mason St, San Francisco, CA 94108, USA",37.7918421,-122.4108428,APPROXIMATE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/180.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/180.jpg
FALSE,FALSE,180,180,2011,movie,"Drama, Romance",A young man Ajay (cancer victim) meets two lovely women Renu (wife) and Vidya (journalist) in his life.,http://ia.media-imdb.com/images/M/MV5BMTQ1NDExNTA5Ml5BMl5BanBnXkFtZTcwOTc3MjA2NQ@@._V1_SX300.jpg,N/A,6,571,N/A,N/A,N/A,N/A,N/A,3 nominations.,,Jayendra,Siddarth,Nithya Menon,Priya Anand,India,N/A,Justin Herman Plaza,"Market St & Steuart St, San Francisco, CA 94105, USA",37.7951195,-122.3952007,APPROXIMATE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/180.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/180.jpg
FALSE,FALSE,180,180,2011,movie,"Drama, Romance",A young man Ajay (cancer victim) meets two lovely women Renu (wife) and Vidya (journalist) in his life.,http://ia.media-imdb.com/images/M/MV5BMTQ1NDExNTA5Ml5BMl5BanBnXkFtZTcwOTc3MjA2NQ@@._V1_SX300.jpg,N/A,6,571,N/A,N/A,N/A,N/A,N/A,3 nominations.,,Jayendra,Siddarth,Nithya Menon,Priya Anand,India,N/A,200 block Market Street,"200 Market St, San Francisco, CA 94111, USA",37.7931217,-122.3965472,RANGE_INTERPOLATED,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/180.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/180.jpg
FALSE,FALSE,180,180,2011,movie,"Drama, Romance",A young man Ajay (cancer victim) meets two lovely women Renu (wife) and Vidya (journalist) in his life.,http://ia.media-imdb.com/images/M/MV5BMTQ1NDExNTA5Ml5BMl5BanBnXkFtZTcwOTc3MjA2NQ@@._V1_SX300.jpg,N/A,6,571,N/A,N/A,N/A,N/A,N/A,3 nominations.,,Jayendra,Siddarth,Nithya Menon,Priya Anand,India,N/A,City Hall,"1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA",37.7792597,-122.4192646,APPROXIMATE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/180.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/180.jpg
FALSE,FALSE,180,180,2011,movie,"Drama, Romance",A young man Ajay (cancer victim) meets two lovely women Renu (wife) and Vidya (journalist) in his life.,http://ia.media-imdb.com/images/M/MV5BMTQ1NDExNTA5Ml5BMl5BanBnXkFtZTcwOTc3MjA2NQ@@._V1_SX300.jpg,N/A,6,571,N/A,N/A,N/A,N/A,N/A,3 nominations.,,Jayendra,Siddarth,Nithya Menon,Priya Anand,India,N/A,Polk & Larkin Streets,"San Francisco, CA 94109, USA",37.790797,-122.4190635,APPROXIMATE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/180.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/180.jpg
FALSE,FALSE,180,180,2011,movie,"Drama, Romance",A young man Ajay (cancer victim) meets two lovely women Renu (wife) and Vidya (journalist) in his life.,http://ia.media-imdb.com/images/M/MV5BMTQ1NDExNTA5Ml5BMl5BanBnXkFtZTcwOTc3MjA2NQ@@._V1_SX300.jpg,N/A,6,571,N/A,N/A,N/A,N/A,N/A,3 nominations.,,Jayendra,Siddarth,Nithya Menon,Priya Anand,India,N/A,Randall Museum,"745 Treat Ave, San Francisco, CA 94110, USA",37.7582073,-122.4130598,APPROXIMATE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/180.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/180.jpg
FALSE,FALSE,180,180,2011,movie,"Drama, Romance",A young man Ajay (cancer victim) meets two lovely women Renu (wife) and Vidya (journalist) in his life.,http://ia.media-imdb.com/images/M/MV5BMTQ1NDExNTA5Ml5BMl5BanBnXkFtZTcwOTc3MjA2NQ@@._V1_SX300.jpg,N/A,6,571,N/A,N/A,N/A,N/A,N/A,3 nominations.,,Jayendra,Siddarth,Nithya Menon,Priya Anand,India,N/A,555 Market St.,"555 Market St, San Francisco, CA 94105, USA",37.789999,-122.3999088,ROOFTOP,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/180.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/180.jpg
FALSE,FALSE,24 Hours on Craigslist,24 Hours on Craigslist,2005,movie,Documentary,This is about Craig Newmark popular classified ads website and the diverse postings that occur on the site in a single day.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0Mzc4OTQwOV5BMl5BanBnXkFtZTcwNDY0NjIzMQ@@._V1_SX300.jpg,47,6.5,397,50,rotten,N/A,http://www.rottentomatoes.com/m/24_hours_on_craigslist/,N/A,N/A,,Michael Ferris Gibson,Craig Newmark,,,USA,http://www.24hoursoncraigslist.com/,,"San Francisco, CA, USA",37.7749295,-122.4194155,APPROXIMATE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/24 Hours on Craigslist.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/24 Hours on Craigslist.jpg
FALSE,FALSE,40 Days and 40 Nights,40 Days and 40 Nights,2002,movie,"Comedy, Romance","After a brutal break-up, a young man vows to stay celibate during the forty days of Lent, but finds the girl of his dreams and is unable to do anything about it.",https://images-na.ssl-images-amazon.com/images/M/MV5BYjY1ZWYwM2MtNDk0YS00NjY5LWJiYzQtZjVmYmNlN2Y0MzVkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,53,5.6,"63,398",38,rotten,"As romantic comedies go, 40 Days and 40 Nights is smutty, sexist, and puerile.",http://www.rottentomatoes.com/m/40_days_and_40_nights/,N/A,1 win & 2 nominations.,"Established in 1867, Buena Vista Park is the oldest official park in San Francisco.",Michael Lehmann,Josh Hartnett,Shaynnyn Sossamon,,"USA, UK, France",http://www.miramax.com/40daysand40nights,"The Walden House, Buena Vista Park","Buena Vista Park, Buena Vista & Haight Street, San Francisco, CA 94117, USA",37.7684046,-122.4414145,APPROXIMATE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,http://clever-goat1.cloudvent.net/assets/blog/valentines-with-the-stars/40 Days and 40 Nights.jpg,https://datasf.org/assets/blog/valentines-with-the-stars/40 Days and 40 Nights.jpg
